Brand_URL,Brand_Name,Brand_Rating,Brand_Summary
https://directory.goodonyou.eco/brand/armedangels,Armedangels,Overall rating: Great,Armedangels produce fashion from organic cotton that has been produced sustainably and fairly for over 13 years
https://directory.goodonyou.eco/brand/ettitude,ettitude,Overall rating: Good,"Sleepwear and bedding made with innovative CleanBamboo™fabric, engineered for comfort."
https://directory.goodonyou.eco/brand/all-the-wild-roses,All the Wild Roses,Overall rating: Good,All the Wild Roses is an Australian brand that offers timeless Bohemian style made from upcycled and vintage fabrics.
https://directory.goodonyou.eco/brand/infantium-victoria,Infantium Victoria,Overall rating: Great,Infantium Victoria is a clothing brand based in Germany that seeks to deliver the finest sustainable fashion for kids.
https://directory.goodonyou.eco/brand/naz,Näz,Overall rating: Good,Näz is a Portugese clothing brand that makes fashion look good for you and the planet too.
https://directory.goodonyou.eco/brand/flamingos-life,Flamingos' Life,Overall rating: Good,"Flamingos' Life is a Spanish sneaker brand that makes footwear out of biodegradable and recycled materials including corn, bamboo, organic cotton, and natural rubber."
https://directory.goodonyou.eco/brand/afends,Afends,Overall rating: Good,Afends is a Byron Bay based fashion brand leading the way in organic hemp fashion.
https://directory.goodonyou.eco/brand/wires,Wires,Overall rating: Good,Wires is a London based eyewear brand that creates beautiful styles from a single piece of metal wire and 3D printed parts.
https://directory.goodonyou.eco/brand/ohsevendays,OhSevenDays,Overall rating: Good,OhSevenDays is a Monday to Sunday womenswear brand made from reclaimed materials.
https://directory.goodonyou.eco/brand/hyer-goods,HYER GOODS,Overall rating: Good,"HYER GOODS is a leather goods label that curates hand-made products including handbags, wallets, and accessories."
https://directory.goodonyou.eco/brand/opera-campi,Opera Campi,Overall rating: Good,Opera Campi creates premium hemp apparel where Italian tradition meets a strong innovation boost.
https://directory.goodonyou.eco/brand/happy-earth-apparel,Happy Earth Apparel,Overall rating: Good,"Happy Earth Apparel is an organic clothing brand that works to give back, inspired by nature and dedicated to preserving it."
https://directory.goodonyou.eco/brand/the-common-good-company,The Common Good Company,Overall rating: Great,"The Common Good Company produces clothing using recycled materials, proving that there is not only a better way to produce but a better way to consume."
https://directory.goodonyou.eco/brand/funky-kalakar,Funky Kalakar,Overall rating: Good,Funky Kalakar sells bags and shoes made by local artisans across India.
https://directory.goodonyou.eco/brand/yes-and,Yes And,Overall rating: Good,Yes And features women's essentials made from certified organic cotton.
https://directory.goodonyou.eco/brand/altar,Altar,Overall rating: Good,"Altar is a local boutique that specializes in alternative and custom fashion, apothecary and gifts."
https://directory.goodonyou.eco/brand/abch,A.BCH,Overall rating: Great,A.BCH is redefining sustainable and ethical fashion here and now.
https://directory.goodonyou.eco/brand/nativ-basics,nat’v basics,Overall rating: Good,nat’v basics is an eco-friendly underwear label designed for the everday woman.
https://directory.goodonyou.eco/brand/plant-faced,Plant Faced Clothing,Overall rating: Good,"Plant Faced Clothing is a British brand that offers cruelty-free, vegan streetwear."
